COMISIÓN NACIONAL DEL AGUA
COORDINACIÓN GENERAL DEL SERVICIO METEOROLÓGICO NACIONAL
BASE DE DATOS CLIMATOLÓGICA
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARZO DE 2024; CON LA INFORMACIÓN SUMINISTRADA POR LAS OFICINAS REGIONALES 

 ESTACIÓN  : 26024 
 NOMBRE    : PRESA ADOLFO RUIZ CORTINEZ -CORTINA- 
 ESTADO    : SONORA 
 MUNICIPIO : ÁLAMOS 
 SITUACIÓN : OPERANDO 
 CVE-OMM   :   
 LATITUD   : 27.24888889 ° 
 LONGITUD  : -109.0583333 ° 
 ALTITUD   : 144 msnm 

EMISIÓN   : 22/03/2024



FECHA		PRECIP	EVAP	TMAX	TMIN
		(mm)	(mm)	(°C )	(°C)
1955-07-22	0	NULO	36.3	NULO
1955-10-30	0	6.7	35	18
1955-10-31	0	5.55	34.5	19
1955-11-01	0	3.8	33	19
1955-11-02	0	5.4	31	18
1955-11-03	0	4.65	28.4	18.5
1955-11-04	0	4	26.6	19.4
1955-11-05	0	5.4	24.2	20.8
1955-11-06	0	5.15	22	18
1955-11-07	0	4.75	24	17.5
1955-11-08	0	6.8	25	15
1955-11-09	0	4.25	23.3	15.1
1955-11-10	0	5.15	23.4	13
1955-11-11	0	3.95	20	13.3
1955-11-12	0	2.9	24	16.6
1955-11-13	0	2.95	25	17.3
1955-11-14	0	3.3	17.5	15.5
1955-11-15	0	3.5	21	13.4
1955-11-16	0	4.07	19.6	12.2
1955-11-17	0	3.88	21	13.2
1955-11-18	0	3.98	20.5	12.5
1955-11-19	0	4.22	25	13.5
1955-11-20	0	4.35	18	14
1955-11-21	0	4.85	19	12
1955-11-22	0	3.97	20	13.7
1955-11-23	0	3.95	23.2	12.2
1955-11-24	0	3.9	16.5	12.1
1955-11-25	0	3.07	19.8	13.2
1955-11-26	0	3.28	19.5	13.5
1955-11-27	0	4.2	18	14
1955-11-28	0	4.2	19	12.5
1955-11-29	4.2	2.95	17.2	13.2
1955-11-30	2	1.6	20.7	14.8
1955-12-01	0	2.28	18	15.5
1955-12-02	0	2.29	15	11.5
1955-12-03	0	2.2	16.5	11.4
1955-12-04	0	3.05	14.5	10
1955-12-05	0	3.05	14	12
1955-12-06	0	3.15	15	10
1955-12-07	0	3.1	16	11.1
1955-12-08	0	3.47	17	12.1
1955-12-09	0	3.08	17.2	13
1955-12-10	0	3.65	18.6	11.1
1955-12-11	0	3.33	15.3	12.2
1955-12-12	0	3.82	18.5	12.3
1955-12-13	0	4.15	18	13
1955-12-14	0	3.85	26.1	14
1955-12-15	0	4.3	27	14.5
1955-12-16	0	4.05	19	12.4
1955-12-17	0	3.85	17.5	11
1955-12-18	0	4.07	20.6	10
1955-12-19	0	3.7	19.5	10.7
1955-12-20	0	4.88	19	12.7
1955-12-21	0	3.85	17.5	13
1955-12-22	0	3.4	17.6	12
1955-12-23	0	4.4	21	12.5
1955-12-24	0	3.15	20.4	11.8
1955-12-25	0	3.85	21.6	12
1955-12-26	0	4.35	24.5	13.2
1955-12-27	0	2.6	15.6	12
1955-12-28	0	4	15	13
1955-12-29	0	4.25	20.9	13.2
1955-12-30	0	4	19	13.6
1955-12-31	0	3.6	17.6	13.5
1956-01-01	0	3.55	15	13
1956-01-02	0	3.9	16	12.5
1956-01-03	0	4.55	24.5	12.6
1956-01-04	0	5.92	20.3	15
1956-01-05	0	4.25	18.4	12
1956-01-06	0	4.13	16.4	12.1
1956-01-07	0	4.8	19	13.2
1956-01-08	0	4.65	18.6	12.1
1956-01-09	0	4.3	14	11.2
1956-01-10	0	4.07	18	11.8
1956-01-11	0	4.03	17.2	11.4
1956-01-12	0	3.8	32.8	11.8
1956-01-13	0	3.85	31	11.5
1956-01-14	0	3.84	30	12
1956-01-15	0	2.81	29.5	11
1956-01-16	1.5	1.6	24	10.8
1956-01-17	2.5	0.35	18	12
1956-01-18	0	1.12	26	9.4
1956-01-19	0	2.83	30	9
1956-01-20	0	3.35	28	11.5
1956-01-21	9	0.15	20	15.5
1956-01-22	0	2.1	23.8	12.5
1956-01-23	0	2.6	26	11.8
1956-01-24	0	2.6	26.5	12
1956-01-25	0	3.65	30	11.8
1956-01-26	0	3.9	33	13.2
1956-01-27	0	2.55	33.5	14
1956-01-28	0	3.55	32.3	12.5
1956-01-29	0	3.45	27.5	12.3
1956-01-30	0	3.05	30	12.5
1956-01-31	0	3.6	31	11.8
1956-02-01	0	2.53	27.5	12.5
1956-02-02	0	4.47	21	8.7
1956-02-03	0	3.85	19	0.1
1956-02-04	0	3.12	23.5	3
1956-02-05	0	3.58	28	3.5
1956-02-06	0	3.25	30	7.5
1956-02-07	0	3.45	27	4.2
1956-02-08	0	3.62	28	6.5
1956-02-09	0	4.4	31	6
1956-02-10	0	4.08	32	6.5
1956-02-11	0	4.26	33	7.5
1956-02-12	0	4.64	33.5	6.5
1956-02-13	0	5.55	35.3	9
1956-02-14	3	3.95	36.5	10
1956-02-15	0.3	0.1	29	12.3
1956-02-16	0	1.2	30.3	12.8
1956-02-17	0	2.85	32	8
1956-02-18	0	3.05	31.5	8.5
1956-02-19	0	3	30	11
1956-02-20	0	3.2	36	11.5
1956-02-21	0	5.2	38	11.5
1956-02-22	0	8.6	38.5	12
1956-02-23	0	9.21	37.2	13.5
1956-02-24	0	9.24	39.5	13.1
1956-02-25	0	8.65	40	14
1956-02-26	0	5.9	41	12
1956-02-27	0	4.7	36	10
1956-02-28	0	5.3	38	11.5
1956-02-29	0	7.05	38.1	12
1956-03-01	0	8.1	40	11.6
1956-03-02	0	5.25	33.5	11.5
1956-03-03	0	6.32	40.5	12.7
1956-03-04	0	5.53	32.2	13
1956-03-05	0	6.42	37.5	13.1
1956-03-06	0	5.43	35	12.3
1956-03-07	0	6.6	34.9	12
1956-03-08	0	6.3	38.8	11.2
1956-03-09	0	6.8	36.2	10
1956-03-10	0	7.85	36.5	9.5
1956-03-11	0	6.5	38	13
1956-03-12	0	6.95	35	10.5
1956-03-13	0	5.97	32.8	9
1956-03-14	0	6.73	32.5	9.5
1956-03-15	0	6.58	35.7	8.5
1956-03-16	0	7.17	39.5	10.8
1956-03-17	0	7.05	38.6	13.5
1956-03-18	0	7.2	38	13.8
1956-03-19	0	8	38.5	15
1956-03-20	0	7.6	36.1	12.2
1956-03-21	0	8.55	38.3	12
1956-03-22	0	8	38	13.4
1956-03-23	0	7.35	37.5	12.5
1956-03-24	0	8.1	38.1	13.2
1956-03-25	0	8.55	37.5	12.7
1956-03-26	0	9.05	38.5	15.2
1956-03-27	0	7.8	38.4	14.5
1956-03-28	0	8.3	37.5	12.8
1956-03-29	0	8.9	38.3	14.7
1956-03-30	0	8.95	39.5	14.5
1956-03-31	0	7.5	38.6	14.6
1956-04-01	0	6.75	37.6	14.5
1956-04-02	0	6.6	28.6	14.2
1956-04-03	0	6.75	31	9
1956-04-04	0	5.95	31.1	8
1956-04-05	0	8	35.4	10.5
1956-04-06	0	9.25	38	14.1
1956-04-07	0	9.12	38.4	14
1956-04-08	0	9.53	38.6	13.6
1956-04-09	0	9.7	38.4	13.7
1956-04-10	0	9.9	40	16.2
1956-04-11	0	8.65	36.5	13
1956-04-12	0	10.68	38.5	15.8
1956-04-13	0	8.8	38	13.8
1956-04-14	0	9.05	33.3	17.5
1956-04-15	0	9.02	35.7	11.8
1956-04-16	0	6.88	35	13.8
1956-04-17	0	5.98	31.2	12.5
1956-04-18	0	8.82	34	17
1956-04-19	0	8.35	36	13
1956-04-20	0	8.95	38.4	17.8
1956-04-21	0	8.47	37	13.4
1956-04-22	0	7.13	36	17
1956-04-23	0	8.25	37.7	15.5
1956-04-24	0	9.11	38.5	14
1956-04-25	0	8.5	38.3	15.5
1956-04-26	0	8.5	38.6	15.6
1956-04-27	0	8.77	36.1	19.5
1956-04-28	0	7.73	35.7	14.2
1956-04-29	0	9.45	36.4	13
1956-04-30	0	9.67	36.8	14.2
1956-05-01	0	9.53	37.4	14.5
1956-05-02	0	10.8	40.5	17
1956-05-03	0	11	42	18.5
1956-05-04	0	9.6	39.4	15
1956-05-05	0	9.97	39.8	18.2
1956-05-06	0	8.35	40	19
1956-05-07	0	10.5	39.6	17.7
1956-05-08	0	12.28	42	20.2
1956-05-09	0	11.07	42.1	19.8
1956-05-10	0	10.05	40.6	16.4
1956-05-11	0	10.55	39.6	20.2
1956-05-12	0	10.9	39.4	18.8
1956-05-13	0	11	39.8	19
1956-05-14	0	9.85	40.2	20
1956-05-15	0	12.2	41	20.1
1956-05-16	0	12.1	43.7	23.5
1956-05-17	0	12.58	44.3	26.1
1956-05-18	0	12.52	42	26
1956-05-19	0	11.25	41.8	25.5
1956-05-20	0	12	42.3	24.8
1956-05-21	0	12.45	41.5	23
1956-05-22	0	12.6	41.6	23.4
1956-05-23	0	12.15	42.2	20
1956-05-24	0	12.05	41	19.4
1956-05-25	0	13.15	42	21.2
1956-05-26	0	11.65	39.8	17
1956-05-27	0	11.05	39.5	16.5
1956-05-28	0	10.82	39.4	16.2
1956-05-29	0	11.51	39.3	18.2
1956-05-30	0	10.7	40.4	19.1
1956-05-31	0	11.95	42	26.5
1956-06-01	0	11.65	40.6	22.5
1956-06-02	0	11.5	40.7	23.2
1956-06-03	0	11.87	42.2	25.1
1956-06-04	0	13.32	42.3	25.8
1956-06-05	0	12.38	42.7	26.5
1956-06-06	0	12.4	43.7	24.2
1956-06-07	0	12.58	45.2	24.4
1956-06-08	0	14.35	43.8	24.8
1956-06-09	0	13.92	43.4	27.7
1956-06-10	0	11.33	42.4	26.2
1956-06-11	0	11.15	41.8	26.7
1956-06-12	0	12.5	42.5	28
1956-06-13	0	12.28	44.4	27
1956-06-14	0	10.87	42.9	27.2
1956-06-15	0	10.5	41.5	28
1956-06-16	0	9.78	41.3	27
1956-06-17	0	10.3	41	26.1
1956-06-18	5	9.2	41.2	26.2
1956-06-19	0	10.1	41	22.7
1956-06-20	2.5	11.05	41.4	27.8
1956-06-21	22.7	6.6	40.2	29
1956-06-22	3	5.5	37.3	21.5
1956-06-23	28.4	6.5	38.4	23.7
1956-06-24	4.1	5.15	39	22.7
1956-06-25	0	6.75	37.6	23
1956-06-26	0	9.3	39.7	24.2
1956-06-27	24	5.2	39.2	26.8
1956-06-28	2	7.4	36.8	23.4
1956-06-29	0	6.3	38	23
1956-06-30	0	6.4	39.5	25.5
1956-07-01	0	9.05	37.4	26
1956-07-02	0	9.95	40.1	24.8
1956-07-03	0	10.55	41.7	28
1956-07-04	0	8.9	43.2	25.8
1956-07-05	13	8.3	43	27.5
1956-07-06	0	7.2	39.1	23.4
1956-07-07	0	7.5	41.2	25.5
1956-07-08	0.2	7.8	40.7	23.8
1956-07-09	0	6.6	39.5	27.2
1956-07-10	0	9.05	40.6	27.5
1956-07-11	32	3.6	33.4	26
1956-07-12	4	3.37	35.3	24
1956-07-13	0	5.38	36.4	23.8
1956-07-14	0	5.95	38.8	27
1956-07-15	22.5	6.6	37.5	23
1956-07-16	0	5.55	36.2	22.5
1956-07-17	0	5.9	37.5	23.5
1956-07-18	22.2	6.9	38.5	24
1956-07-19	0	6.1	36.7	22.5
1956-07-20	0.8	5.1	38	24.5
1956-07-21	0	4.75	36.7	22.5
1956-07-22	0	5.75	37.3	25
1956-07-23	3	6.7	37	23.4
1956-07-24	9.5	6.1	36	22
1956-07-25	0	6.55	35.5	21.5
1956-07-26	0	8.35	38	24
1956-07-27	1	6.4	39.4	23
1956-07-28	20	6.3	38	23.4
1956-07-29	0	4.6	38.2	23.3
1956-07-30	0	2.8	38.3	24
1956-07-31	0	5.45	38.1	23.6
1956-08-01	0	7.15	38.8	25
1956-08-02	0	4.85	37.5	28
1956-08-03	1.5	7.4	37.4	26
1956-08-04	0	7.9	39.5	22
1956-08-05	10	9.75	40.5	26.1
1956-08-06	0	7.85	40.7	26
1956-08-07	0	7.35	40	23.2
1956-08-08	8	8.35	41	27.7
1956-08-09	0	5.15	37.3	22.5
1956-08-10	6.5	6.65	39.5	25.6
1956-08-11	0	7.25	39	22
1956-08-12	0	7.75	41	24.1
1956-08-13	0.5	7.05	39	26.5
1956-08-14	30	9.25	40.6	25.5
1956-08-15	0	8.25	39	20
1956-08-16	3	6.55	37	23
1956-08-17	0	5.55	38.2	22.5
1956-08-18	0	6.1	39.2	23.2
1956-08-19	0	4.7	40.5	24
1956-08-20	38	5.25	40.7	24.6
1956-08-21	0	13.55	36.7	24
1956-08-22	0	7.85	37.5	24.4
1956-08-23	0	3.1	37	25.5
1956-08-24	2.5	5.3	38.1	25.2
1956-08-25	4	5.05	37.5	25.1
1956-08-26	0	2.1	36	22
1956-08-27	0	6.1	38	23
1956-08-28	0	8.5	39	24
1956-08-29	0	6.4	39.1	23.8
1956-08-30	0	7.45	39.2	25
1956-08-31	0	8.2	40.2	23
1956-09-01	0	10.6	42.1	27.5
1956-09-02	0	9.7	42.4	23.2
1956-09-03	12.5	7.45	41.5	26
1956-09-04	0	3.08	41	24.5
1956-09-05	0	4.52	36	22.5
1956-09-06	0	4.55	38.2	25
1956-09-07	25	7.7	40	23.5
1956-09-08	0	5.45	36.5	22
1956-09-09	0	6.3	39.2	24.7
1956-09-10	0	6.45	39.5	24.8
1956-09-11	0	7.55	40.5	26.5
1956-09-12	0	7.85	42	26.6
1956-09-13	0	7.15	40.5	23.8
1956-09-14	26.5	4.4	41.1	25.6
1956-09-15	0	1.5	40.4	26.7
1956-09-16	0	4.95	38	27
1956-09-17	7	5.95	40	28
1956-09-18	0	5.05	38.2	25
1956-09-19	0	5.4	39.7	26
1956-09-20	0	5.8	39.1	24
1956-09-21	1	3.35	37.6	27.8
1956-09-22	0	4.6	37.4	22.5
1956-09-23	0	4.5	38.7	24.5
1956-09-24	0	6.35	39.5	25.2
1956-09-25	0	5.85	41	24.8
1956-09-26	0	6.1	38.4	27
1956-09-27	0	6.3	40.2	27.5
1956-09-28	0	6.35	39.8	26.8
1956-09-29	0	7.7	39.4	25
1956-09-30	1	4.35	39	27.3
1956-10-01	0	5.15	35.6	22
1956-10-02	0	6.07	37.8	22.1
1956-10-03	0	7.23	40.1	22.8
1956-10-04	0	6.8	41.8	21.6
1956-10-05	0	6.55	41.9	25
1956-10-06	0	8.15	43	25.5
1956-10-07	0	8.55	43.1	27
1956-10-08	0	8.65	42.5	19.5
1956-10-09	0	7.45	42.4	20.8
1956-10-10	0	7	41.5	21.8
1956-10-11	0	8.35	41.8	21.5
1956-10-12	0	6.45	40.4	21.3
1956-10-13	0	7.3	38.6	25.1
1956-10-14	0	5.8	42	20.2
1956-10-15	0	6.15	39	19
1956-10-16	0	6.1	39.5	21
1956-10-17	0	5.2	36.8	22.5
1956-10-18	0	5.6	36	20.5
1956-10-19	0	6.85	38	24.5
1956-10-20	0	5.15	38.2	26
1956-10-21	0	6.3	39.8	27
1956-10-22	0	6.2	40	25.6
1956-10-23	0	6.45	38.4	17
1956-10-24	0	6.12	36.2	17.5
1956-10-25	0	5.93	36.8	13.8
1956-10-26	0	7.2	36.5	16.5
1956-10-27	0	5.2	36.7	16
1956-10-28	0	3.95	36.5	16.5
1956-10-29	0	5	34.5	14
1956-10-30	0	4.2	33	14.1
1956-10-31	0	4.85	31.5	13
1956-11-01	0	4.22	30	12.5
1956-11-02	0	5.08	33.7	12.6
1956-11-03	0	6.8	30.5	9
1956-11-04	0	4.3	32.8	10
1956-11-05	0	5.1	33	9.5
1956-11-06	0	5.7	36	10.5
1956-11-07	0	6.05	37.8	12.5
1956-11-08	0	7.15	38.8	12.8
1956-11-09	0	5.2	40	15.7
1956-11-10	0	5.7	38.6	17.5
1956-11-11	0	6.45	38.8	17.2
1956-11-12	0	6.05	38.2	18
1956-11-13	0	6.25	36.5	18.5
1956-11-14	0	5.2	35.2	16
1956-11-15	0	4.7	33	16.5
1956-11-16	0	3.75	32.8	16.4
1956-11-17	0	4.5	34.5	16.6
1956-11-18	0	5.05	32.1	14
1956-11-19	0	4.73	32.6	13.6
1956-11-20	0	3.97	26.1	14.1
1956-11-21	0	4.05	29	10.1
1956-11-22	0	4.35	33.1	14.6
1956-11-23	0	1.6	25.6	17.6
1956-11-24	0	4.52	32.1	17.1
1956-11-25	0	4.23	32.3	15.8
1956-11-26	0	4.05	33.6	17.2
1956-11-27	0	5.32	34.6	16.3
1956-11-28	0	3.63	32.6	13.6
1956-11-29	0	4.73	32.7	14.6
1956-11-30	0	4.7	32.3	14.1
1956-12-01	0	4.32	33.6	13.6
1956-12-02	0	3.95	31.3	12.8
1956-12-03	0	4.55	29.3	14.1
1956-12-04	0	3.55	31	14
1956-12-05	1.5	1.85	23	15
1956-12-06	0	1.5	28.9	13.8
1956-12-07	0	3.15	28.1	11.1
1956-12-08	0	3.4	26.2	16.4
1956-12-09	0	2.75	28.6	16.8
1956-12-10	0	1.4	26.6	16.7
1956-12-11	0	3.13	28.4	12.6
1956-12-12	0	3	27.2	12.7
1956-12-13	0	3.47	28.4	13.1
1956-12-14	0	3.15	28.6	12.6
1956-12-15	0	2.85	28.1	13.1
1956-12-16	0	3.17	29.2	12.4
1956-12-17	0.5	1.13	20.3	12.3
1956-12-18	1	1.05	17.5	11.5
1956-12-19	0	2.7	26.1	9.8
1956-12-20	0	1.1	25.4	12.1
1956-12-21	0	4.35	20.7	10.1
1956-12-22	0	2.25	24.4	9.3
1956-12-23	0	3.1	17.4	8
1956-12-24	0	2.8	18.5	8.2
1956-12-25	0	3.1	28.5	8.3
1956-12-26	0	3.85	29.3	8.9
1956-12-27	0	3.85	30.6	10.1
1956-12-28	0	4.9	31.8	9.9
1956-12-29	0	5	33.1	11.4
1956-12-30	0	6.9	30.7	12.3
1956-12-31	0	2.1	29.2	12.8
1957-01-01	0	0.95	28.5	13
1957-01-02	0	3.3	31.1	12.8
1957-01-03	30	0.63	27.6	10.8
1957-01-04	0	1.25	21.3	12.6
1957-01-05	0	2.2	24.8	12.7
1957-01-06	0	2	27.9	12.1
1957-01-07	0	2.55	31.1	12.2
1957-01-08	0	1.5	29.6	12.7
1957-01-09	0	4.65	32.1	14.6
1957-01-10	0	2.8	33.5	16.7
1957-01-11	0	3.55	29.8	16.1
1957-01-12	0	3.5	34.2	15.6
1957-01-13	0	3.9	33.6	15.3
1957-01-14	0	5.1	35.6	15.3
1957-01-15	0	4	32.3	15.4
1957-01-16	0	3.17	28.7	15.1
1957-01-17	0	2.48	27.6	14.5
1957-01-18	0	2.35	25.1	12.4
1957-01-19	0	3.88	29	13.8
1957-01-20	0	1.97	29.9	12.3
1957-01-21	0	3.85	28.1	12.5
1957-01-22	0	1.9	27.6	12.4
1957-01-23	1.5	2.22	20.4	12.1
1957-01-24	0	2.5	25.3	13.3
1957-01-25	0	1.83	26.3	12.1
1957-01-26	0.2	0.2	23.2	12.9
1957-01-27	0	2.15	25.6	15.3
1957-01-28	5	2.1	23.4	16.9
1957-01-29	0	0.5	24.1	17.5
1957-01-30	0.3	2.35	26.1	17.6
1957-01-31	0	3.65	24.6	15.1
1957-02-01	0	2.9	26.1	8.3
1957-02-02	0	3.25	29.3	9.1
1957-02-03	0	4.2	31	12
1957-02-04	0	4.05	30.1	13.8
1957-02-05	0	4.68	33	14.4
1957-02-06	0	3.99	30.6	13.6
1957-02-07	0	4.25	32.8	14
1957-02-08	0	4.73	35.4	14.5
1957-02-09	0	4.35	35.6	14.7
1957-02-10	0	5.4	36.6	16.6
1957-02-11	0	6.05	37	17.1
1957-02-12	0	7.35	38.9	17
1957-02-13	0	5.95	38.4	17.5
1957-02-14	0	4.92	33.6	15.3
1957-02-15	0	4.13	33.7	17.4
1957-02-16	0	3.5	31.4	17.6
1957-02-17	0	3.43	36.8	15.1
1957-02-18	0	2.37	24.1	15.8
1957-02-19	0	3.65	27.6	12.1
1957-02-20	0	5.11	30.6	13.1
1957-02-21	0	4.75	31.6	14.1
1957-02-22	0	5.83	32.4	14.6
1957-02-23	0	5.97	32	15.1
1957-02-24	0	5.73	33.4	13.6
1957-02-25	0	6.12	35.1	13.5
1957-02-26	0	6.85	36.1	13.1
1957-02-27	0	6.95	36.2	13.7
1957-02-28	0	5.5	34.4	14.1
1957-03-01	0	5.45	32.4	13.4
1957-03-02	0	5.35	30.6	15.6
1957-03-03	0	5.35	27.4	15.8
1957-03-04	0	5.7	28.6	11.1
1957-03-05	0	5.95	31.1	11.5
1957-03-06	0	6.42	31.2	13.1
1957-03-07	0	6.63	33.1	14.3
1957-03-08	0	5.95	33.6	14.4
1957-03-09	0	3.85	31.8	15.1
1957-03-10	3.5	3.2	25.6	18.1
1957-03-11	0	4.55	25.8	11.6
1957-03-12	0	5.7	30.6	11.1
1957-03-13	0	6.15	32.1	12.1
1957-03-14	0	7	31.6	12.1
1957-03-15	0	6.6	32.4	14.6
1957-03-16	0	3.4	30.6	14.5
1957-03-17	0	4.05	27.4	15.9
1957-03-18	0	5.65	32.6	14.1
1957-03-19	11.8	0.85	31.1	14.6
1957-03-20	0	3.7	25.6	15.1
1957-03-21	0	4.15	28.6	13.1
1957-03-22	0	6.35	27.6	13.1
1957-03-23	0	8.8	24.6	10.6
1957-03-24	0	6.45	26.1	11.1
1957-03-25	0	7.17	30.6	9.4
1957-03-26	0	8.33	33.1	10.1
1957-03-27	0	5.4	33	14.1
1957-03-28	0	7.4	29.9	13.6
1957-03-29	0	7.7	33.9	14.9
1957-03-30	0	9.25	35.1	17.2
1957-03-31	0	8.05	33.6	14.3
1957-04-01	0	8.85	35.1	14.1
1957-04-02	0	5.03	26.2	17.3
1957-04-03	0	7.42	28.8	12.1
1957-04-04	0	7.85	32.8	12.5
1957-04-05	0	9	38.1	13.7
1957-04-06	0	8.75	31.1	16.3
1957-04-07	0	9.2	31.1	17.1
1957-04-08	0	9.65	36.6	16.1
1957-04-09	0	9.35	37.6	15.6
1957-04-10	0	8.7	35.2	17.1
1957-04-11	0	9.25	34.3	15.6
1957-04-12	0	8.7	35.1	15.3
1957-04-13	0	7.35	35	17.4
1957-04-14	0	8.7	34.6	18.1
1957-04-15	0	8.65	30.1	17.1
1957-04-16	0	7.2	33.9	16.6
1957-04-17	0	10.2	36.6	17.8
1957-04-18	0	9.5	38.1	17.9
1957-04-19	0	10	35.1	16.6
1957-04-20	0	9.5	35.1	14.6
1957-04-21	0	9.3	34.6	15.1
1957-04-22	0	8.85	30.7	15.6
1957-04-23	0	8.7	32.1	12.4
1957-04-24	0	9.35	33.8	12.1
1957-04-25	0	9.5	34.8	14.9
1957-04-26	0	9.8	35.4	14.8
1957-04-27	0	10.75	36.6	17.1
1957-04-28	0	9.3	34.9	18.9
1957-04-29	0	7.35	34.6	18.1
1957-04-30	0	8.6	35	20.1
1957-05-01	0	9.65	36.1	20.6
1957-05-02	0	10.2	36.4	18.3
1957-05-03	0	11.8	39.2	20.3
1957-05-04	0	12.15	40.1	19.7
1957-05-05	0	7.8	36.1	20.5
1957-05-06	0	10	42.2	19.6
1957-05-07	0	8.85	36.5	19.5
1957-05-08	0	8.15	33.8	16.9
1957-05-09	0	8.15	33.4	16.5
1957-05-10	0	7.42	32.8	16.1
